,library,timepoint after thawing,cell_line,Treatment,Treatment_time,mouse_pool,sex,bio-replicate,organism,experiment_id,M Reads,M Reads Mapped,flowcell,Peaks,FRiP,Regulatory,TSS,Mitochondrial DNA,Fragment Length,Treatment Redundancy,% Dups,% Aligned,% Duplication,% > Q30,Mb Q30 bases,GC content,% PF,% Adapter,pass_qc
PT82_R1_LCMV_Cl13_24h,ATAC-seq,d011,BMDM,LCMV_Cl13,24h,PT62_c,female,R1,mouse,PT82,26.0,25.7,BSF_0694_HFCMWBBXY,110989.0,0.61,0.63,4.4,0.0,,,0.33,0.99,0.26,0.97,1261.2,0.52,1.0,0.1,1
PT82_R1_LCMV_Cl13_8h,ATAC-seq,d010,BMDM,LCMV_Cl13,8h,PT62_c,female,R1,mouse,PT82,25.5,25.2,BSF_0694_HFCMWBBXY,99936.0,0.59,0.63,4.8,0.0,147.0,0.16,0.32,0.99,0.26,0.97,1237.6,0.52,1.0,0.1,1
PT82_R1_LO28_24h,ATAC-seq,d011,BMDM,LO28,24h,PT62_c,female,R1,mouse,PT82,34.3,28.6,BSF_0694_HFCMWBBXY,33208.0,0.06,0.2,1.7,0.01,147.0,0.01,0.11,0.83,0.21,0.98,1642.8,0.45,1.0,0.2,1
PT82_R1_LO28_8h,ATAC-seq,d010,BMDM,LO28,8h,PT62_c,female,R1,mouse,PT82,27.1,26.4,BSF_0694_HFCMWBBXY,104016.0,0.47,0.52,4.0,0.0,147.0,0.11,0.26,0.98,0.22,0.97,1315.9,0.5,1.0,0.1,1
PT82_R1_LPS_24h,ATAC-seq,d011,BMDM,LPS,24h,PT62_c,female,R1,mouse,PT82,25.1,25.0,BSF_0694_HFCMWBBXY,112860.0,0.63,0.62,4.2,0.0,,,0.33,0.99,0.26,0.97,1221.5,0.51,1.0,0.1,1
PT82_R1_LPS_8h,ATAC-seq,d010,BMDM,LPS,8h,PT62_c,female,R1,mouse,PT82,28.1,27.9,BSF_0694_HFCMWBBXY,102716.0,0.44,0.49,3.9,0.0,147.0,0.1,0.26,0.99,0.21,0.97,1363.1,0.5,1.0,0.12,1
PT82_R1_untreated_24h,ATAC-seq,d011,BMDM,untreated,24h,PT62_c,female,R1,mouse,PT82,22.7,22.5,BSF_0694_HFCMWBBXY,93416.0,0.51,0.57,4.3,0.0,147.0,0.11,0.26,0.99,0.2,0.97,1101.2,0.51,1.0,0.09,1
PT82_R1_untreated_8h,ATAC-seq,d010,BMDM,untreated,8h,PT62_c,female,R1,mouse,PT82,29.9,29.7,BSF_0694_HFCMWBBXY,86886.0,0.35,0.43,3.9,0.0,147.0,0.08,0.23,0.99,0.18,0.97,1446.5,0.49,1.0,0.14,1
PT82_R2_C_albicans_24h,ATAC-seq,d011,BMDM,C_albicans,24h,PT66_b,female,R2,mouse,PT82,27.8,27.6,BSF_0694_HFCMWBBXY,100896.0,0.5,0.56,4.5,0.0,147.0,0.12,0.28,0.99,0.22,0.97,1350.9,0.51,1.0,0.1,1
PT82_R2_C_albicans_8h,ATAC-seq,d010,BMDM,C_albicans,8h,PT66_b,female,R2,mouse,PT82,27.3,27.1,BSF_0694_HFCMWBBXY,93001.0,0.44,0.5,4.1,0.0,147.0,0.1,0.26,0.99,0.21,0.97,1326.8,0.5,1.0,0.11,1
PT82_R2_IFN_beta_24h,ATAC-seq,d011,BMDM,IFN_beta,24h,PT66_b,female,R2,mouse,PT82,26.5,26.3,BSF_0694_HFCMWBBXY,95599.0,0.57,0.61,4.6,0.0,147.0,0.16,0.32,0.99,0.26,0.97,1284.9,0.52,1.0,0.09,1
PT82_R2_IFN_beta_8h,ATAC-seq,d010,BMDM,IFN_beta,8h,PT66_b,female,R2,mouse,PT82,29.6,29.3,BSF_0694_HFCMWBBXY,103723.0,0.44,0.5,4.3,0.0,147.0,0.1,0.26,0.99,0.21,0.97,1429.0,0.5,1.0,0.13,1
PT82_R2_IFN_gamma_24h,ATAC-seq,d011,BMDM,IFN_gamma,24h,PT66_b,female,R2,mouse,PT82,28.5,28.2,BSF_0694_HFCMWBBXY,107379.0,0.62,0.65,4.3,0.0,,,0.35,0.99,0.28,0.97,1383.4,0.52,1.0,0.08,1
PT82_R2_IFN_gamma_8h,ATAC-seq,d010,BMDM,IFN_gamma,8h,PT66_b,female,R2,mouse,PT82,25.6,25.4,BSF_0694_HFCMWBBXY,84717.0,0.4,0.48,4.3,0.0,147.0,0.09,0.24,0.99,0.2,0.97,1235.8,0.5,1.0,0.14,1
PT82_R2_LCMV_Cl13_24h,ATAC-seq,d011,BMDM,LCMV_Cl13,24h,PT66_b,female,R2,mouse,PT82,26.6,26.2,BSF_0694_HFCMWBBXY,108593.0,0.63,0.65,5.1,0.0,,,0.34,0.98,0.28,0.97,1290.8,0.52,1.0,0.1,1
PT82_R2_LCMV_Cl13_8h,ATAC-seq,d010,BMDM,LCMV_Cl13,8h,PT66_b,female,R2,mouse,PT82,26.1,25.9,BSF_0694_HFCMWBBXY,99104.0,0.57,0.62,4.7,0.0,147.0,0.15,0.3,0.99,0.24,0.97,1269.6,0.52,1.0,0.1,1
PT82_R2_LO28_24h,ATAC-seq,d011,BMDM,LO28,24h,PT66_b,female,R2,mouse,PT82,26.7,22.9,BSF_0694_HFCMWBBXY,44859.0,0.11,0.24,2.2,0.01,147.0,0.02,0.12,0.86,0.21,0.98,1302.5,0.46,1.0,0.1,1
PT82_R2_LO28_8h,ATAC-seq,d010,BMDM,LO28,8h,PT66_b,female,R2,mouse,PT82,28.4,27.7,BSF_0694_HFCMWBBXY,109432.0,0.47,0.5,3.9,0.0,147.0,0.11,0.25,0.97,0.21,0.97,1376.9,0.49,1.0,0.12,1
PT82_R2_LPS_24h,ATAC-seq,d011,BMDM,LPS,24h,PT66_b,female,R2,mouse,PT82,25.9,25.7,BSF_0694_HFCMWBBXY,104995.0,0.55,0.56,4.2,0.0,147.0,0.14,0.29,0.99,0.23,0.97,1256.4,0.51,1.0,0.1,1
PT82_R2_LPS_8h,ATAC-seq,d010,BMDM,LPS,8h,PT66_b,female,R2,mouse,PT82,25.8,25.6,BSF_0694_HFCMWBBXY,104481.0,0.43,0.48,3.7,0.0,147.0,0.08,0.23,0.99,0.19,0.97,1246.9,0.49,1.0,0.12,1
PT82_R2_untreated_24h,ATAC-seq,d011,BMDM,untreated,24h,PT66_b,female,R2,mouse,PT82,25.2,25.0,BSF_0694_HFCMWBBXY,99263.0,0.53,0.58,4.3,0.0,147.0,0.12,0.28,0.99,0.22,0.97,1224.3,0.52,1.0,0.09,1
PT82_R2_untreated_8h,ATAC-seq,d010,BMDM,untreated,8h,PT66_b,female,R2,mouse,PT82,27.5,27.2,BSF_0694_HFCMWBBXY,91041.0,0.44,0.5,4.1,0.0,147.0,0.11,0.26,0.99,0.2,0.97,1336.2,0.5,1.0,0.1,1
