sample_name,library,timepoint after thawing,cell_line,Treatment,Treatment_time,mouse_pool,sex,bio-replicate,organism,experiment_id
PT76_R2_LPS_4h,ATAC-seq,d010,BMDM,LPS,4h,PT66_b,female,R2,mouse,PT76
PT76_R2_LPS_6h,ATAC-seq,d010,BMDM,LPS,6h,PT66_b,female,R2,mouse,PT76
PT76_R2_LPS_8h,ATAC-seq,d010,BMDM,LPS,8h,PT66_b,female,R2,mouse,PT76
PT82_R1_C_albicans_24h,ATAC-seq,d011,BMDM,C_albicans,24h,PT62_c,female,R1,mouse,PT82
PT82_R1_C_albicans_8h,ATAC-seq,d010,BMDM,C_albicans,8h,PT62_c,female,R1,mouse,PT82
PT82_R1_IFN_beta_24h,ATAC-seq,d011,BMDM,IFN_beta,24h,PT62_c,female,R1,mouse,PT82
PT82_R1_IFN_beta_8h,ATAC-seq,d010,BMDM,IFN_beta,8h,PT62_c,female,R1,mouse,PT82
PT82_R1_IFN_gamma_24h,ATAC-seq,d011,BMDM,IFN_gamma,24h,PT62_c,female,R1,mouse,PT82
PT82_R1_IFN_gamma_8h,ATAC-seq,d010,BMDM,IFN_gamma,8h,PT62_c,female,R1,mouse,PT82
PT82_R1_LCMV_Cl13_24h,ATAC-seq,d011,BMDM,LCMV_Cl13,24h,PT62_c,female,R1,mouse,PT82
PT82_R1_LCMV_Cl13_8h,ATAC-seq,d010,BMDM,LCMV_Cl13,8h,PT62_c,female,R1,mouse,PT82
PT82_R1_LO28_24h,ATAC-seq,d011,BMDM,LO28,24h,PT62_c,female,R1,mouse,PT82
PT82_R1_LO28_8h,ATAC-seq,d010,BMDM,LO28,8h,PT62_c,female,R1,mouse,PT82
PT82_R1_LPS_24h,ATAC-seq,d011,BMDM,LPS,24h,PT62_c,female,R1,mouse,PT82
PT82_R1_LPS_8h,ATAC-seq,d010,BMDM,LPS,8h,PT62_c,female,R1,mouse,PT82
PT82_R1_untreated_24h,ATAC-seq,d011,BMDM,untreated,24h,PT62_c,female,R1,mouse,PT82
PT82_R1_untreated_8h,ATAC-seq,d010,BMDM,untreated,8h,PT62_c,female,R1,mouse,PT82
PT82_R2_C_albicans_24h,ATAC-seq,d011,BMDM,C_albicans,24h,PT66_b,female,R2,mouse,PT82
PT82_R2_C_albicans_8h,ATAC-seq,d010,BMDM,C_albicans,8h,PT66_b,female,R2,mouse,PT82
PT82_R2_IFN_beta_24h,ATAC-seq,d011,BMDM,IFN_beta,24h,PT66_b,female,R2,mouse,PT82
PT82_R2_IFN_beta_8h,ATAC-seq,d010,BMDM,IFN_beta,8h,PT66_b,female,R2,mouse,PT82
PT82_R2_IFN_gamma_24h,ATAC-seq,d011,BMDM,IFN_gamma,24h,PT66_b,female,R2,mouse,PT82
PT82_R2_IFN_gamma_8h,ATAC-seq,d010,BMDM,IFN_gamma,8h,PT66_b,female,R2,mouse,PT82
PT82_R2_LCMV_Cl13_24h,ATAC-seq,d011,BMDM,LCMV_Cl13,24h,PT66_b,female,R2,mouse,PT82
PT82_R2_LCMV_Cl13_8h,ATAC-seq,d010,BMDM,LCMV_Cl13,8h,PT66_b,female,R2,mouse,PT82
PT82_R2_LO28_24h,ATAC-seq,d011,BMDM,LO28,24h,PT66_b,female,R2,mouse,PT82
PT82_R2_LO28_8h,ATAC-seq,d010,BMDM,LO28,8h,PT66_b,female,R2,mouse,PT82
PT82_R2_LPS_24h,ATAC-seq,d011,BMDM,LPS,24h,PT66_b,female,R2,mouse,PT82
PT82_R2_LPS_8h,ATAC-seq,d010,BMDM,LPS,8h,PT66_b,female,R2,mouse,PT82
PT82_R2_untreated_24h,ATAC-seq,d011,BMDM,untreated,24h,PT66_b,female,R2,mouse,PT82
PT82_R2_untreated_8h,ATAC-seq,d010,BMDM,untreated,8h,PT66_b,female,R2,mouse,PT82
